index	t_on	t_off	pitch_name	pitch_number	velocity
0	0.3	0.45	D#4	63	64
1	0.45	0.6	D4	62	64
2	0.6	0.9	D#4	63	64
3	0.9	1.2	F4	65	64
4	1.2	1.2750000000000001	G4	67	64
5	1.2750000000000001	1.35	F4	65	56
6	1.35	1.8	G4	67	64
7	1.8	2.4	G#4	68	64
8	2.7	2.85	F4	65	64
9	2.85	3.0	D#4	63	64
10	3.0	3.3000000000000003	F4	65	64
11	3.3000000000000003	3.6	G4	67	64
12	3.6	3.6750000000000003	G#4	68	64
13	3.6750000000000003	3.75	G4	67	56
14	3.75	4.2	G#4	68	64
15	4.2	4.8	A#4	70	64
16	4.8	5.1000000000000005	G4	67	64
17	5.1000000000000005	5.4	C5	72	64
18	5.4	5.4750000000000005	A#4	70	64
19	5.4750000000000005	5.55	C5	72	56
20	5.55	5.7	A#4	70	64
21	5.7	6.0	G#4	68	64
22	6.0	6.15	G4	67	64
23	6.15	6.3	G#4	68	64
24	6.3	6.45	A#4	70	64
25	6.45	6.6000000000000005	G#4	68	64
26	6.6000000000000005	6.9	G4	67	64
27	6.9	7.2	F4	65	64
28	7.2	7.5	D#4	63	64
29	7.5	7.8	G4	67	64
30	7.8	8.1	A#4	70	64
31	8.1	8.55	D#5	75	64
32	8.55	8.700000000000001	C5	72	64
33	8.700000000000001	8.85	D5	74	64
34	8.85	9.0	D#5	75	64
35	9.0	9.3	F5	77	64
36	9.3	9.6	D#5	75	64
37	9.6	9.75	D5	74	64
38	9.75	9.9	D#5	75	64
39	9.9	10.05	D5	74	64
40	10.05	10.200000000000001	C5	72	64
41	10.200000000000001	10.35	D5	74	64
42	10.35	10.5	D#5	75	64
43	10.5	10.65	C5	72	64
44	10.65	10.8	D5	74	64
45	10.8	10.950000000000001	A#4	70	64
46	10.950000000000001	11.1	A#5	82	64
47	11.1	11.25	A5	81	64
48	11.25	11.4	A#5	82	64
49	11.4	11.55	G5	79	64
50	11.55	11.700000000000001	A5	81	64
51	11.700000000000001	11.85	F5	77	64
52	11.85	12.0	G5	79	64
53	12.0	12.15	D#5	75	64
54	12.15	12.3	G5	79	64
55	12.3	12.450000000000001	F5	77	64
56	12.450000000000001	12.6	G5	79	64
57	12.6	12.75	D#5	75	64
58	12.75	12.9	F5	77	64
59	12.9	13.05	D5	74	64
60	13.05	13.200000000000001	D#5	75	64
61	13.200000000000001	13.35	C5	72	64
62	13.35	13.5	A#5	82	64
63	13.5	13.65	A5	81	64
64	13.65	13.8	G5	79	64
65	13.8	13.950000000000001	A5	81	64
66	13.950000000000001	14.1	A#5	82	64
67	14.1	14.25	G5	79	64
68	14.25	14.4	A5	81	64
69	14.4	14.55	A#4	70	64
70	14.55	14.700000000000001	A#5	82	64
71	14.700000000000001	14.85	A5	81	64
72	14.85	15.0	G5	79	64
73	15.0	15.15	A5	81	64
74	15.15	15.3	A#5	82	64
75	15.3	15.450000000000001	G5	79	64
76	15.450000000000001	15.6	A5	81	64
77	15.6	15.75	F5	77	64
78	15.75	15.9	A#5	82	64
79	15.9	16.05	G#5	80	64
80	16.05	16.2	G5	79	64
81	16.2	16.35	F5	77	64
82	16.35	16.5	G5	79	64
83	16.5	16.65	D#5	75	64
84	16.65	16.8	F5	77	64
85	16.8	16.95	D5	74	64
86	16.95	17.1	G5	79	64
87	17.1	17.25	F5	77	64
88	17.25	17.400000000000002	D#5	75	64
89	17.400000000000002	17.55	D5	74	64
90	17.55	17.7	D#5	75	64
91	17.7	17.85	C5	72	64
92	17.85	18.0	D5	74	64
93	18.0	18.150000000000002	F4	65	64
94	18.150000000000002	18.3	D#5	75	64
95	18.3	18.45	D5	74	64
96	18.45	18.6	C5	72	64
97	18.6	18.75	D5	74	64
98	18.75	18.900000000000002	D#5	75	64
99	18.900000000000002	19.05	C5	72	64
100	19.05	19.2	D5	74	64
101	19.2	19.5	D#5	75	64
102	19.5	19.650000000000002	A#4	70	64
103	19.650000000000002	19.8	G#4	68	64
104	19.8	20.1	A#4	70	64
105	20.1	20.400000000000002	C5	72	64
106	20.400000000000002	20.475	C#5	73	64
107	20.475	20.55	C5	72	56
108	20.55	21.0	C#5	73	64
109	21.0	21.6	D#5	75	64
110	21.900000000000002	22.05	C5	72	64
111	22.05	22.2	A#4	70	64
112	22.2	22.5	C5	72	64
113	22.5	22.8	D5	74	64
114	22.8	22.875	D#5	75	64
115	22.875	22.95	D5	74	56
116	22.95	23.400000000000002	D#5	75	64
117	23.400000000000002	24.0	F5	77	64
118	24.3	24.45	D5	74	64
119	24.45	24.6	C5	72	64
120	24.6	24.900000000000002	D5	74	64
121	24.900000000000002	25.2	D#5	75	64
122	25.2	25.275000000000002	F5	77	64
123	25.275000000000002	25.35	D#5	75	56
124	25.35	25.8	F5	77	64
125	25.8	26.400000000000002	G5	79	64
126	26.400000000000002	26.55	D#5	75	64
127	26.55	26.7	F5	77	64
128	26.7	26.85	D#5	75	64
129	26.85	27.0	D5	74	64
130	27.0	27.150000000000002	D#5	75	64
131	27.150000000000002	27.3	F5	77	64
132	27.3	27.45	D5	74	64
133	27.45	27.6	D#5	75	64
134	27.6	27.75	C5	72	64
