index	t_on	t_off	pitch_name	pitch_number	velocity
0	0.1630435	0.326087	E4	64	64
1	0.326087	0.4891305	A4	69	64
2	0.4891305	0.652174	C5	72	64
3	0.652174	0.8152175	B4	71	64
4	0.8152175	0.978261	E4	64	64
5	0.978261	1.1413045	B4	71	64
6	1.1413045	1.304348	D5	74	64
7	1.304348	1.630435	C5	72	64
8	1.630435	1.956522	E5	76	64
9	1.956522	2.282609	G#4	68	64
10	2.282609	2.608696	E5	76	64
11	2.608696	2.7717395000000002	A4	69	64
12	2.7717395000000002	2.934783	E4	64	64
13	2.934783	3.0978265	A4	69	64
14	3.0978265	3.26087	C5	72	64
15	3.26087	3.4239135000000003	B4	71	64
16	3.4239135000000003	3.586957	E4	64	64
17	3.586957	3.7500005	B4	71	64
18	3.7500005	3.913044	D5	74	64
19	3.913044	4.239131	C5	72	64
20	4.239131	4.565218	A4	69	64
21	5.3804355	5.5434790000000005	E5	76	64
22	5.5434790000000005	5.7065225	C5	72	64
23	5.7065225	5.869566	E5	76	64
24	5.869566	6.0326095	A4	69	64
25	6.0326095	6.195653	C5	72	64
26	6.195653	6.3586965	E4	64	64
27	6.3586965	6.52174	G4	67	64
28	6.52174	6.8478270000000006	F4	65	64
29	6.8478270000000006	7.173914	A4	69	64
30	7.173914	7.500001	D5	74	64
31	7.500001	7.9891315	F5	77	64
32	7.9891315	8.152175	D5	74	64
33	8.152175	8.3152185	B4	71	64
34	8.3152185	8.478262	D5	74	64
35	8.478262	8.6413055	G4	67	64
36	8.6413055	8.804349	B4	71	64
37	8.804349	8.9673925	D4	62	64
38	8.9673925	9.130436	F4	65	64
39	9.130436	9.456523	E4	64	64
40	9.456523	9.78261	G4	67	64
41	9.78261	10.108697000000001	C5	72	64
42	10.108697000000001	10.597827500000001	E5	76	64
43	10.597827500000001	10.760871	C5	72	64
44	10.760871	10.9239145	A4	69	64
45	10.9239145	11.086958000000001	C5	72	64
46	11.086958000000001	11.413045	F4	65	64
47	11.413045	11.9021755	D5	74	64
48	11.9021755	12.065219	B4	71	64
49	12.065219	12.2282625	G4	67	64
50	12.2282625	12.391306	B4	71	64
51	12.391306	12.717393	E4	64	64
52	12.717393	13.206523500000001	C5	72	64
53	13.206523500000001	13.369567	A4	69	64
54	13.369567	13.5326105	F4	65	64
55	13.5326105	13.695654000000001	A4	69	64
56	13.695654000000001	14.021741	D4	62	64
57	14.021741	14.347828	B4	71	64
58	14.347828	14.673915000000001	C5	72	64
59	15.8152195	15.978263	G4	67	64
60	15.978263	16.1413065	C5	72	64
61	16.1413065	16.30435	E5	76	64
62	16.30435	16.4673935	D5	74	64
63	16.4673935	16.630437	G4	67	64
64	16.630437	16.7934805	D5	74	64
65	16.7934805	16.956524	F5	77	64
66	16.956524	17.282611	E5	76	64
67	17.282611	17.608698	G5	79	64
68	17.608698	17.934785	B4	71	64
69	17.934785	18.260872	G5	79	64
70	18.260872	18.4239155	C5	72	64
71	18.4239155	18.586959	G4	67	64
72	18.586959	18.7500025	C5	72	64
73	18.7500025	18.913046	E5	76	64
74	18.913046	19.076089500000002	D5	74	64
75	19.076089500000002	19.239133	G4	67	64
76	19.239133	19.4021765	D5	74	64
77	19.4021765	19.56522	F5	77	64
78	19.56522	19.891307	E5	76	64
79	19.891307	20.217394000000002	C5	72	64
80	20.217394000000002	20.543481	G5	79	64
81	20.543481	20.869568	E5	76	64
82	20.869568	21.0326115	C6	84	64
83	21.0326115	21.195655000000002	A5	81	64
84	21.195655000000002	21.3586985	E5	76	64
85	21.3586985	21.521742	A5	81	64
86	21.521742	21.6847855	C5	72	64
87	21.6847855	21.847829	E5	76	64
88	21.847829	22.0108725	A4	69	64
89	22.0108725	22.173916000000002	C5	72	64
90	22.173916000000002	22.500003	D5	74	64
91	22.500003	22.82609	F#5	78	64
92	22.82609	23.152177000000002	A5	81	64
93	23.152177000000002	23.478264	C6	84	64
94	23.478264	23.6413075	B5	83	64
95	23.6413075	23.804351	G5	79	64
96	23.804351	23.9673945	D5	74	64
97	23.9673945	24.130438	G5	79	64
98	24.130438	24.293481500000002	B4	71	64
99	24.293481500000002	24.456525	D5	74	64
100	24.456525	24.6195685	G4	67	64
101	24.6195685	24.782612	B4	71	64
102	24.782612	25.108699	C5	72	64
103	25.108699	25.434786	E5	76	64
104	25.434786	25.760873	G5	79	64
105	25.760873	26.08696	B5	83	64
106	26.08696	26.250003500000002	A5	81	64
107	26.250003500000002	26.413047000000002	F#5	78	64
108	26.413047000000002	26.5760905	D#5	75	64
109	26.5760905	26.739134	F#5	78	64
110	26.739134	26.9021775	B4	71	64
111	26.9021775	27.065221	D#5	75	64
112	27.065221	27.2282645	F#4	66	64
113	27.2282645	27.391308000000002	A4	69	64
114	27.391308000000002	27.717395	G4	67	64
115	27.717395	28.2065255	G5	79	64
116	28.2065255	28.369569000000002	E5	76	64
117	28.369569000000002	28.5326125	C5	72	64
118	28.5326125	28.695656	E5	76	64
119	28.695656	29.021743	A4	69	64
120	29.021743	29.510873500000002	F#5	78	64
121	29.510873500000002	29.673917	D5	74	64
122	29.673917	29.8369605	B4	71	64
123	29.8369605	30.000004	D5	74	64
124	30.000004	30.326091	G4	67	64
125	30.326091	30.8152215	E5	76	64
126	30.8152215	30.978265	C5	72	64
127	30.978265	31.1413085	A4	69	64
128	31.1413085	31.304352	C5	72	64
129	31.304352	31.467395500000002	F#4	66	64
130	31.467395500000002	31.630439	G5	79	64
131	31.630439	31.7934825	F#5	78	64
132	31.7934825	31.956526	E5	76	64
133	31.956526	32.119569500000004	D#5	75	64
134	32.119569500000004	32.282613	F#5	78	64
135	32.282613	32.4456565	B4	71	64
136	32.4456565	32.6087	D#5	75	64
137	32.6087	32.934787	E5	76	64
138	34.076091500000004	34.239135	G5	79	64
139	34.239135	34.4021785	A#5	82	64
140	34.4021785	34.565222	G5	79	64
141	34.565222	34.7282655	E5	76	64
142	34.7282655	34.891309	G5	79	64
143	34.891309	35.0543525	C#5	73	64
144	35.0543525	35.217396	E5	76	64
145	35.217396	35.3804395	G5	79	64
146	35.3804395	35.543483	E5	76	64
147	35.543483	35.7065265	C#5	73	64
148	35.7065265	35.86957	E5	76	64
149	35.86957	36.032613500000004	A4	69	64
150	36.6847875	36.847831	F5	77	64
151	36.847831	37.0108745	A5	81	64
152	37.0108745	37.173918	F5	77	64
153	37.173918	37.3369615	D5	74	64
154	37.3369615	37.500005	F5	77	64
155	37.500005	37.6630485	B4	71	64
156	37.6630485	37.826092	D5	74	64
157	37.826092	37.9891355	F5	77	64
158	37.9891355	38.152179000000004	D5	74	64
159	38.152179000000004	38.315222500000004	B4	71	64
160	38.315222500000004	38.478266	D5	74	64
161	38.478266	38.6413095	G4	67	64
162	39.2934835	39.456527	E5	76	64
163	39.456527	39.6195705	G5	79	64
164	39.6195705	39.782614	E5	76	64
165	39.782614	39.9456575	C5	72	64
166	39.9456575	40.108701	E5	76	64
167	40.108701	40.271744500000004	A4	69	64
168	40.271744500000004	40.434788000000005	C5	72	64
169	40.434788000000005	40.5978315	D#5	75	64
170	40.5978315	40.760875	C5	72	64
171	40.760875	40.9239185	A4	69	64
172	40.9239185	41.086962	C5	72	64
173	41.086962	41.2500055	F#4	66	64
174	41.9021795	42.065223	D5	74	64
175	42.065223	42.228266500000004	F5	77	64
176	42.228266500000004	42.391310000000004	D5	74	64
177	42.391310000000004	42.5543535	B4	71	64
178	42.5543535	42.717397	D5	74	64
179	42.717397	42.8804405	G#4	68	64
180	42.8804405	43.043484	B4	71	64
181	43.043484	43.2065275	D5	74	64
182	43.2065275	43.369571	B4	71	64
183	43.369571	43.5326145	G#4	68	64
184	43.5326145	43.695658	B4	71	64
185	43.695658	43.8587015	E4	64	64
186	44.510875500000004	44.673919	E4	64	64
187	44.673919	44.8369625	A4	69	64
188	44.8369625	45.000006	C5	72	64
189	45.000006	45.1630495	B4	71	64
190	45.1630495	45.326093	E4	64	64
191	45.326093	45.4891365	B4	71	64
192	45.4891365	45.65218	D5	74	64
193	45.65218	45.978267	C5	72	64
194	45.978267	46.304354000000004	A4	69	64
195	46.304354000000004	46.630441000000005	G#4	68	64
196	46.630441000000005	46.956528	E4	64	64
197	46.956528	47.1195715	A4	69	64
198	47.1195715	47.282615	C5	72	64
199	47.282615	47.4456585	E5	76	64
200	47.4456585	47.608702	C5	72	64
201	47.608702	47.7717455	A4	69	64
202	47.7717455	47.934789	C5	72	64
203	47.934789	48.0978325	F#4	66	64
204	48.0978325	48.260876	A4	69	64
205	48.260876	48.423919500000004	C5	72	64
206	48.423919500000004	48.586963000000004	A4	69	64
207	48.586963000000004	48.7500065	F#4	66	64
208	48.7500065	48.91305	A4	69	64
209	48.91305	49.0760935	D#4	63	64
210	49.0760935	49.239137	C5	72	64
211	49.239137	49.4021805	B4	71	64
212	49.4021805	49.565224	A4	69	64
213	49.565224	49.7282675	G#4	68	64
214	49.7282675	49.891311	B4	71	64
215	49.891311	50.0543545	D5	74	64
216	50.0543545	50.217398	B4	71	64
217	50.217398	50.3804415	G#4	68	64
218	50.3804415	50.543485000000004	B4	71	64
219	50.543485000000004	50.706528500000005	D4	62	64
220	50.706528500000005	50.869572	F4	65	64
221	50.869572	51.0326155	G#4	68	64
222	51.0326155	51.195659	F4	65	64
223	51.195659	51.3587025	D4	62	64
224	51.3587025	51.521746	F4	65	64
225	51.521746	51.6847895	B3	59	64
226	51.6847895	51.847833	F4	65	64
227	51.847833	52.0108765	E4	64	64
228	52.0108765	52.17392	D4	62	64
229	52.17392	52.3369635	C4	60	64
230	52.3369635	52.500007000000004	E4	64	64
231	52.500007000000004	52.663050500000004	A4	69	64
232	52.663050500000004	52.826094000000005	E4	64	64
233	52.826094000000005	52.9891375	C4	60	64
234	52.9891375	53.152181	E4	64	64
235	53.152181	53.3152245	A3	57	64
236	53.3152245	53.478268	C4	60	64
237	53.478268	53.6413115	D#4	63	64
238	53.6413115	53.804355	C4	60	64
239	53.804355	53.9673985	A3	57	64
240	53.9673985	54.130442	C4	60	64
241	54.130442	54.2934855	F#3	54	64
242	54.2934855	54.456529	C4	60	64
243	54.456529	54.619572500000004	B3	59	64
244	54.619572500000004	54.782616000000004	A3	57	64
245	54.782616000000004	55.108703	G#3	56	64
