index	t_on	t_off	pitch_name	pitch_number	velocity
0	0.277778	0.416667	B4	71	64
1	0.416667	0.555556	A4	69	64
2	0.555556	0.694445	G4	67	64
3	0.694445	0.833334	F#4	66	64
4	0.833334	0.972223	G4	67	64
5	0.972223	1.111112	E4	64	64
6	1.111112	1.1805565	B4	71	64
7	1.1805565	1.250001	A4	69	56
8	1.250001	1.38889	B4	71	64
9	1.38889	1.666668	B4	71	64
10	1.666668	1.7361125	E5	76	64
11	1.7361125	1.805557	D#5	75	56
12	1.805557	2.083335	E5	76	64
13	2.083335	2.222224	F#5	78	64
14	2.222224	2.2916685	D#5	75	64
15	2.2916685	2.361113	E5	76	56
16	2.361113	2.500002	D#5	75	64
17	2.500002	2.638891	F#5	78	64
18	2.638891	2.77778	E5	76	64
19	2.77778	2.916669	D#5	75	64
20	2.916669	3.055558	C#5	73	64
21	3.055558	3.194447	D#5	75	64
22	3.194447	3.333336	B4	71	64
23	3.333336	3.611114	B5	83	64
24	3.611114	3.750003	A5	81	64
25	3.750003	3.888892	G5	79	64
26	3.888892	3.9583365	F#5	78	49
27	3.9583365	4.027781	G5	79	52
28	4.027781	4.0972255	F#5	78	56
29	4.0972255	4.16667	G5	79	59
30	4.16667	4.305559	F#5	78	64
31	4.305559	4.3750035	E5	76	56
32	4.3750035	4.444448	F#5	78	64
33	4.444448	4.722226	G5	79	64
34	4.722226	4.861115	B5	83	64
35	4.861115	5.000004	A5	81	64
36	5.000004	5.138893	G5	79	64
37	5.138893	5.277782	F#5	78	64
38	5.277782	5.416671	G5	79	64
39	5.416671	5.55556	E5	76	64
40	5.55556	5.972227	C6	84	64
41	5.972227	6.111116	B5	83	64
42	6.111116	6.250005	A5	81	64
43	6.250005	6.388894	G5	79	64
44	6.388894	6.527783	F#5	78	64
45	6.527783	6.666672	E5	76	64
46	6.666672	6.94445	F#5	78	64
47	6.94445	7.083339	A5	81	64
48	7.083339	7.222228	G5	79	64
49	7.222228	7.361117	F#5	78	64
50	7.361117	7.500006	E5	76	64
51	7.500006	7.638895	F#5	78	64
52	7.638895	7.777784	D5	74	64
53	7.777784	8.194451	B5	83	64
54	8.194451	8.33334	A5	81	64
55	8.33334	8.472229	G5	79	64
56	8.472229	8.611118	F#5	78	64
57	8.611118	8.750007	E5	76	64
58	8.750007	8.888896	D5	74	64
59	8.888896	9.027785	E5	76	64
60	9.027785	9.166674	F#5	78	64
61	9.166674	9.305563	E5	76	64
62	9.305563	9.444452	D5	74	64
63	9.444452	9.583341	C5	72	64
64	9.583341	9.72223	B4	71	64
65	9.72223	9.861119	A4	69	64
66	9.861119	10.000008	G4	67	64
67	10.000008	10.138897	C5	72	64
68	10.138897	10.277786	B4	71	64
69	10.277786	10.416675	A4	69	64
70	10.416675	10.555564	B4	71	64
71	10.555564	10.694453	C5	72	64
72	10.694453	10.833342	D5	74	64
73	10.833342	10.972231	E5	76	64
74	10.972231	11.11112	F#5	78	64
75	11.11112	11.250009	G5	79	64
76	11.250009	11.388898	F#5	78	64
77	11.388898	11.527787	E5	76	64
78	11.527787	11.666676	D5	74	64
79	11.666676	11.7361205	G5	79	64
80	11.7361205	11.805565	F#5	78	56
81	11.805565	12.083343	G5	79	64
82	12.083343	12.222232	G5	79	64
83	12.222232	12.361121	G5	79	64
84	12.361121	12.50001	F#5	78	64
85	12.50001	12.638899	E5	76	64
86	12.638899	12.777788	F#5	78	64
87	12.777788	12.8472325	F#5	78	64
88	12.8472325	12.916677	G5	79	56
