index	t_on	t_off	pitch_name	pitch_number	velocity
0	0.1744185	0.348837	C4	60	64
1	0.348837	0.5232555	D4	62	64
2	0.5232555	0.697674	E4	64	64
3	0.697674	0.8720925	F4	65	64
4	0.8720925	1.046511	D4	62	64
5	1.046511	1.2209295	E4	64	64
6	1.2209295	1.395348	C4	60	64
7	1.395348	1.744185	G4	67	64
8	1.744185	2.093022	C5	72	64
9	2.093022	2.18023125	B4	71	64
10	2.18023125	2.2674405	A4	69	56
11	2.2674405	2.441859	B4	71	64
12	2.441859	2.790696	C5	72	64
13	2.790696	2.9651145	D5	74	64
14	2.9651145	3.139533	G4	67	64
15	3.139533	3.3139515	A4	69	64
16	3.3139515	3.48837	B4	71	64
17	3.48837	3.6627885	C5	72	64
18	3.6627885	3.837207	A4	69	64
19	3.837207	4.0116255	B4	71	64
20	4.0116255	4.186044	G4	67	64
21	4.186044	4.534881	D5	74	64
22	4.534881	4.883718	G5	79	64
23	4.883718	4.97092725	F5	77	64
24	4.97092725	5.0581365	E5	76	56
25	5.0581365	5.232555	F5	77	64
26	5.232555	5.581392	G5	79	64
27	5.581392	5.7558105	E5	76	64
28	5.7558105	5.930229	A5	81	64
29	5.930229	6.1046475000000004	G5	79	64
30	6.1046475000000004	6.279066	F5	77	64
31	6.279066	6.4534845	E5	76	64
32	6.4534845	6.627903	G5	79	64
33	6.627903	6.8023215	F5	77	64
34	6.8023215	6.97674	A5	81	64
35	6.97674	7.1511585	G5	79	64
36	7.1511585	7.325577	F5	77	64
37	7.325577	7.4999955	E5	76	64
38	7.4999955	7.674414	D5	74	64
39	7.674414	7.8488325	C5	72	64
40	7.8488325	8.023251	E5	76	64
41	8.023251	8.1976695	D5	74	64
42	8.1976695	8.372088	F5	77	64
43	8.372088	8.5465065	E5	76	64
44	8.5465065	8.720925	D5	74	64
45	8.720925	8.8953435	C5	72	64
46	8.8953435	9.069762	B4	71	64
47	9.069762	9.2441805	A4	69	64
48	9.2441805	9.418599	C5	72	64
49	9.418599	9.5930175	B4	71	64
50	9.5930175	9.767436	D5	74	64
51	9.767436	9.9418545	C5	72	64
52	9.9418545	10.116273	B4	71	64
53	10.116273	10.2906915	A4	69	64
54	10.2906915	10.46511	G4	67	64
55	10.46511	10.6395285	F#4	66	64
56	10.6395285	10.813947	A4	69	64
57	10.813947	10.9883655	G4	67	64
58	10.9883655	11.162784	B4	71	64
59	11.162784	11.511621	A4	69	64
60	11.511621	11.860458	D4	62	64
61	11.860458	11.94766725	C5	72	64
62	11.94766725	12.0348765	B4	71	56
63	12.0348765	12.3837135	C5	72	64
64	12.3837135	12.558132	D5	74	64
65	12.558132	12.7325505	B4	71	64
66	12.7325505	12.906969	A4	69	64
67	12.906969	13.0813875	G4	67	64
68	13.0813875	13.255806	F#4	66	64
69	13.255806	13.4302245	E4	64	64
70	13.4302245	13.604643	G4	67	64
71	13.604643	13.7790615	F#4	66	64
72	13.7790615	13.95348	A4	69	64
73	13.95348	14.1278985	G4	67	64
74	14.1278985	14.302317	B4	71	64
75	14.302317	14.4767355	A4	69	64
76	14.4767355	14.651154	C5	72	64
77	14.651154	14.8255725	B4	71	64
78	14.8255725	14.999991	D5	74	64
79	14.999991	15.1744095	C5	72	64
80	15.1744095	15.348828	E5	76	64
81	15.348828	15.5232465	D5	74	64
82	15.5232465	15.61045575	B4	71	64
83	15.61045575	15.697665	C5	72	56
84	15.697665	15.8720835	D5	74	64
85	15.8720835	16.046502	G5	79	64
86	16.046502	16.13371125	B4	71	64
87	16.13371125	16.2209205	C5	72	56
88	16.2209205	16.395339	B4	71	64
89	16.395339	16.5697575	A4	69	64
90	16.5697575	16.744176	G4	67	64
91	16.744176	17.093013	G4	67	64
92	18.3139425	18.488361	G4	67	64
93	18.488361	18.6627795	A4	69	64
94	18.6627795	18.837198	B4	71	64
95	18.837198	19.0116165	C5	72	64
96	19.0116165	19.186035	A4	69	64
97	19.186035	19.3604535	B4	71	64
