index	t_on	t_off	pitch_name	pitch_number	velocity
0	0.666667	0.83333375	D4	62	64
1	0.83333375	1.0000005	E4	64	64
2	1.0000005	1.16666725	F#4	66	64
3	1.16666725	1.333334	E4	64	64
4	1.333334	1.50000075	G4	67	64
5	1.50000075	1.6666675	F#4	66	64
6	1.6666675	1.83333425	E4	64	64
7	1.83333425	2.000001	D4	62	64
8	2.000001	2.1666677500000002	A4	69	64
9	2.1666677500000002	2.3333345	G4	67	64
10	2.3333345	2.50000125	F#4	66	64
11	2.50000125	2.666668	E4	64	64
12	2.666668	2.83333475	F#4	66	64
13	2.83333475	3.0000015	D4	62	64
14	3.0000015	3.333335	A4	69	64
15	3.333335	3.6666685	B4	71	64
16	3.6666685	3.7222240833333333	C#5	73	64
17	3.7222240833333333	3.777779666666667	B4	71	56
18	3.777779666666667	3.83333525	C#5	73	64
19	3.83333525	4.000002	D5	74	64
20	4.000002	4.083335375	C#5	73	64
21	4.083335375	4.16666875	D5	74	56
22	4.16666875	4.3333355000000005	C#5	73	64
23	4.3333355000000005	4.416668875	B4	71	56
24	4.416668875	4.6250023125	A4	69	64
25	4.666669	4.83333575	C#5	73	64
26	4.83333575	5.0000025	D5	74	64
27	5.0000025	5.16666925	E5	76	64
28	5.16666925	5.333336	C#5	73	64
29	5.333336	5.50000275	F#5	78	64
30	5.50000275	5.6666695	D5	74	64
31	5.6666695	5.83333625	C#5	73	64
32	5.83333625	6.000003	B4	71	64
33	6.000003	6.1666697500000005	E5	76	64
34	6.1666697500000005	6.333336500000001	C#5	73	64
35	6.333336500000001	6.50000325	D5	74	64
36	6.50000325	6.66667	B4	71	64
37	6.66667	6.83333675	A4	69	64
38	6.83333675	7.0000035	G#4	68	64
39	7.0000035	7.16667025	E5	76	64
40	7.16667025	7.333337	C#5	73	64
41	7.333337	7.50000375	F#5	78	64
42	7.50000375	7.6666705	D5	74	64
43	7.6666705	7.8333372500000005	C#5	73	64
44	7.8333372500000005	8.000004	B4	71	64
45	8.000004	8.16667075	E5	76	64
46	8.16667075	8.3333375	C#5	73	64
47	8.3333375	8.50000425	D5	74	64
48	8.50000425	8.666671000000001	B4	71	64
49	8.666671000000001	8.83333775	A4	69	64
50	8.83333775	9.000004500000001	G#4	68	64
51	9.000004500000001	9.16667125	C#5	73	64
52	9.16667125	9.333338	B4	71	64
53	9.333338	9.50000475	D5	74	64
54	9.50000475	9.6666715	C#5	73	64
55	9.6666715	9.83333825	B4	71	64
56	9.83333825	10.000005	A4	69	64
57	10.000005	10.3333385	F#5	78	64
58	10.3333385	10.666672	G#4	68	64
59	10.666672	11.027783291666667	A4	69	64
60	11.055561083333334	11.111116666666668	B4	71	64
61	11.111116666666668	11.16667225	A4	69	49
62	11.16667225	11.222227833333333	G#4	68	52
63	11.222227833333333	11.277783416666667	A4	69	56
64	11.277783416666667	11.305561208333334	B4	71	64
65	11.333339	11.83333925	B4	71	64
66	11.83333925	12.000006	A4	69	64
67	12.000006	12.666673000000001	A4	69	64
