index	t_on	t_off	pitch_name	pitch_number	velocity
0	0.326087	0.4891305	C5	72	64
1	0.4891305	0.652174	B4	71	64
2	0.652174	0.8152175	C5	72	64
3	0.8152175	0.978261	D5	74	64
4	0.978261	1.1413045	D#5	75	64
5	1.1413045	1.304348	G4	67	64
6	1.304348	1.4673915	G#4	68	64
7	1.4673915	1.630435	A#4	70	64
8	1.630435	1.7934785	G#4	68	64
9	1.7934785	1.956522	F4	65	64
10	1.956522	2.1195655	F5	77	64
11	2.1195655	2.282609	D#5	75	64
12	2.282609	2.4456525	D5	74	64
13	2.4456525	2.608696	C5	72	64
14	2.608696	2.7717395000000002	B4	71	64
15	2.7717395000000002	2.934783	G#5	80	64
16	2.934783	3.0978265	G5	79	64
17	3.0978265	3.26087	F5	77	64
18	3.26087	3.4239135000000003	D#5	75	64
19	3.4239135000000003	3.586957	D5	74	64
20	3.586957	3.7500005	C5	72	64
21	3.7500005	3.913044	B4	71	64
22	3.913044	4.0760875	C5	72	64
23	4.0760875	4.239131	D5	74	64
24	4.239131	4.4021745	C5	72	64
25	4.4021745	4.565218	D5	74	64
26	4.565218	4.654891925	D#5	75	48
27	4.64673975	4.7364136750000005	D5	74	49
28	4.7282615	4.817935425	D#5	75	51
29	4.80978325	4.899457175	D5	74	53
30	4.891305	4.9809789250000005	D#5	75	54
31	4.97282675	5.062500675	D5	74	56
32	5.054348500000001	5.144022425	C5	72	57
33	5.13587025	5.2255441750000005	D5	74	59
34	5.217392	5.3804355	D#5	75	64
35	5.3804355	5.5434790000000005	D5	74	64
36	5.5434790000000005	5.7065225	C5	72	64
37	5.7065225	5.869566	D5	74	64
38	5.869566	6.0326095	D#5	75	64
39	6.0326095	6.195653	F5	77	64
40	6.195653	6.4673921666666665	G5	79	64
41	6.52174	6.576087833333333	G5	79	64
42	6.576087833333333	6.630435666666667	G#5	80	56
43	6.630435666666667	6.875000916666667	G5	79	64
44	6.875000916666667	7.201087916666667	F5	77	64
45	7.500001	7.771740166666667	F5	77	64
46	7.826088	7.880435833333333	F5	77	64
47	7.880435833333333	7.934783666666667	F#5	78	56
48	7.934783666666667	8.179348916666667	F5	77	64
49	8.179348916666667	8.505435916666666	D#5	75	64
50	8.804349	9.130436	D5	74	64
51	9.130436	9.456523	D#5	75	64
52	9.456523	9.9456535	G#4	68	64
53	9.9456535	10.108697000000001	F4	65	64
54	10.108697000000001	10.2717405	A#4	70	64
55	10.2717405	10.434784	F4	65	64
56	10.434784	10.760871	G4	67	64
57	10.760871	11.2500015	D#5	75	64
58	11.2500015	11.413045	D5	74	64
59	11.413045	11.576088500000001	D#5	75	64
60	11.576088500000001	11.739132	A#4	70	64
61	11.739132	11.9021755	C5	72	64
62	11.9021755	12.065219	D#5	75	64
63	12.065219	12.2282625	G#5	80	64
64	12.2282625	12.391306	G5	79	64
65	12.391306	12.5543495	F5	77	64
66	12.5543495	12.717393	D#5	75	64
67	12.717393	12.8804365	D5	74	64
68	12.8804365	13.04348	C5	72	64
69	13.04348	13.206523500000001	A#4	70	64
70	13.206523500000001	13.369567	D5	74	64
71	13.369567	13.5326105	G5	79	64
72	13.5326105	13.695654000000001	F5	77	64
73	13.695654000000001	13.8586975	D#5	75	64
74	13.8586975	14.021741	D5	74	64
75	14.021741	14.184784500000001	C5	72	64
76	14.184784500000001	14.347828	A#4	70	64
77	14.347828	14.5108715	G#4	68	64
78	14.5108715	14.673915000000001	C5	72	64
79	14.673915000000001	14.8369585	F5	77	64
80	14.8369585	15.000002	C5	72	64
81	15.000002	15.4891325	D5	74	64
82	15.4891325	15.652176	D5	74	64
83	15.652176	15.8152195	D#5	75	64
84	15.8152195	15.978263	A#4	70	64
85	15.978263	16.1413065	C5	72	64
86	16.1413065	16.30435	A#4	70	64
87	16.30435	17.092393583333333	G5	79	64
88	17.1195675	17.282611	A#4	70	64
89	17.282611	17.4456545	C5	72	64
90	17.4456545	17.608698	A#4	70	64
91	17.608698	18.396741583333334	G#5	80	64
92	18.4239155	18.586959	A#4	70	64
93	18.586959	18.7500025	D#5	75	64
94	18.7500025	18.913046	D5	74	64
95	18.913046	19.076089500000002	G5	79	64
96	19.076089500000002	19.239133	F5	77	64
97	19.239133	19.4021765	G#5	80	64
98	19.4021765	19.56522	G5	79	64
99	19.56522	19.7282635	C6	84	64
100	19.7282635	19.891307	A#5	82	64
101	19.891307	20.0543505	G#5	80	64
102	20.0543505	20.217394000000002	G5	79	64
103	20.217394000000002	20.3804375	F5	77	64
104	20.3804375	20.543481	A#5	82	64
105	20.543481	20.7065245	G#5	80	64
106	20.7065245	20.869568	A#5	82	64
107	20.869568	21.0326115	G5	79	64
108	21.0326115	21.195655000000002	A#5	82	64
109	21.195655000000002	21.3586985	G#5	80	64
110	21.3586985	21.521742	A#5	82	64
111	21.521742	21.6847855	D#5	75	64
112	21.6847855	21.847829	G5	79	64
113	21.847829	22.0108725	F5	77	64
114	22.0108725	22.173916000000002	G5	79	64
115	22.173916000000002	22.3369595	C5	72	64
116	22.3369595	22.500003	D5	74	64
117	22.500003	22.6630465	D#5	75	64
118	22.6630465	22.82609	F5	77	64
119	22.82609	22.9891335	D5	74	64
120	22.9891335	23.152177000000002	D#5	75	64
121	23.152177000000002	23.315220500000002	F5	77	64
122	23.315220500000002	23.478264	G5	79	64
123	23.478264	23.6413075	D#5	75	64
124	23.6413075	23.804351	F5	77	64
125	23.804351	23.9673945	G5	79	64
126	23.9673945	24.130438	G#5	80	64
127	24.130438	24.293481500000002	A#5	82	64
128	24.293481500000002	24.456525	G#5	80	64
129	24.456525	24.6195685	C6	84	64
130	24.6195685	24.782612	A#5	82	64
131	24.782612	24.9456555	G#5	80	64
