index	t_on	t_off	pitch_name	pitch_number	velocity
0	0.25	0.5	F4	65	64
1	0.5	0.75	A4	69	64
2	0.75	1.0	F4	65	64
3	1.0	1.25	C5	72	64
4	1.25	1.5	F4	65	64
5	1.5	1.75	F5	77	64
6	1.75	1.875	E5	76	64
7	1.875	2.0	D5	74	64
8	2.0	2.125	C5	72	64
9	2.125	2.25	D5	74	64
10	2.25	2.375	C5	72	64
11	2.375	2.5	A#4	70	64
12	2.5	2.625	A4	69	64
13	2.625	2.75	A#4	70	64
14	2.75	2.875	A4	69	64
15	2.875	3.0	G4	67	64
16	3.25	3.5	A4	69	64
17	3.5	3.75	C5	72	64
18	3.75	4.0	A4	69	64
19	4.0	4.25	F5	77	64
20	4.25	4.5	C5	72	64
21	4.5	4.625	A5	81	64
22	4.625	4.75	C6	84	64
23	4.75	4.875	A#5	82	64
24	4.875	5.0	C6	84	64
25	5.0	5.125	A5	81	64
26	5.125	5.25	C6	84	64
27	5.25	5.375	A#5	82	64
28	5.375	5.5	C6	84	64
29	5.5	5.625	A5	81	64
30	5.625	5.75	C6	84	64
31	5.75	5.875	A#5	82	64
32	5.875	6.0	C6	84	64
33	6.0	6.125	F5	77	64
34	6.125	6.25	A5	81	64
35	6.25	6.375	G5	79	64
36	6.375	6.5	A5	81	64
37	6.5	6.625	F5	77	64
38	6.625	6.75	A5	81	64
39	6.75	6.875	G5	79	64
40	6.875	7.0	A5	81	64
41	7.0	7.125	F5	77	64
42	7.125	7.25	A5	81	64
43	7.25	7.375	G5	79	64
44	7.375	7.5	A5	81	64
45	7.5	7.625	D5	74	64
46	7.625	7.75	F5	77	64
47	7.75	7.875	E5	76	64
48	7.875	8.0	F5	77	64
49	8.0	8.125	D5	74	64
50	8.125	8.25	F5	77	64
51	8.25	8.375	E5	76	64
52	8.375	8.5	F5	77	64
53	8.5	8.625	D5	74	64
54	8.625	8.75	F5	77	64
55	8.75	8.875	E5	76	64
56	8.875	9.0	F5	77	64
57	9.0	9.25	B4	71	64
58	9.25	9.5	G4	67	64
59	9.5	9.75	D5	74	64
60	9.75	10.0	B4	71	64
61	10.0	10.25	F5	77	64
62	10.25	10.5	D5	74	64
63	10.5	10.625	G5	79	64
64	10.625	10.75	A5	81	64
65	10.75	10.875	G5	79	64
66	10.875	11.0	F5	77	64
67	11.0	11.125	E5	76	64
68	11.125	11.25	F5	77	64
69	11.25	11.375	E5	76	64
70	11.375	11.5	D5	74	64
71	11.5	11.625	C5	72	64
72	11.625	11.75	D5	74	64
73	11.75	11.875	C5	72	64
74	11.875	12.0	A#4	70	64
75	12.0	12.25	A4	69	64
76	12.25	12.375	D5	74	64
77	12.375	12.5	C5	72	64
78	12.5	12.625	B4	71	64
79	12.625	12.75	C5	72	64
80	12.75	12.875	B4	71	64
81	12.875	13.0	A4	69	64
82	13.0	13.125	G4	67	64
83	13.125	13.25	A4	69	64
84	13.25	13.375	G4	67	64
85	13.375	13.5	F4	65	64
86	13.5	13.625	E4	64	64
87	13.625	13.75	F4	65	64
88	13.75	13.875	E4	64	64
89	13.875	14.0	D4	62	64
90	14.0	14.25	C4	60	64
91	14.25	14.375	C5	72	64
92	14.375	14.5	B4	71	64
93	14.5	14.75	C5	72	64
94	14.75	15.0	E4	64	64
95	15.0	15.25	F4	65	64
96	15.25	15.5	C5	72	64
97	15.5	15.75	E4	64	64
98	15.75	16.0	C5	72	64
99	16.0	16.25	D4	62	64
100	16.25	16.5	B4	71	64
101	16.5	17.0	C5	72	64
102	18.25	18.5	C5	72	64
103	18.5	18.75	E5	76	64
104	18.75	19.0	C5	72	64
105	19.0	19.25	G5	79	64
106	19.25	19.5	C5	72	64
107	19.5	19.75	C6	84	64
108	19.75	19.875	B5	83	64
109	19.875	20.0	A5	81	64
110	20.0	20.125	G5	79	64
111	20.125	20.25	A5	81	64
112	20.25	20.375	G5	79	64
113	20.375	20.5	F5	77	64
114	20.5	20.625	E5	76	64
115	20.625	20.75	F5	77	64
116	20.75	20.875	E5	76	64
117	20.875	21.0	D5	74	64
118	21.0	21.125	C5	72	64
119	21.125	21.25	A#4	70	64
120	21.25	21.375	C5	72	64
121	21.375	21.5	A5	81	64
122	21.5	21.625	C5	72	64
123	21.625	21.75	A5	81	64
124	21.75	21.875	A#4	70	64
125	21.875	22.0	A5	81	64
126	22.0	22.125	C5	72	64
127	22.125	22.25	A5	81	64
128	22.25	22.375	A4	69	64
129	22.375	22.5	A5	81	64
130	22.5	22.75	A#4	70	64
131	22.75	23.0	G4	67	64
132	23.0	23.25	A#4	70	64
133	23.25	23.5	G4	67	64
134	23.5	23.75	D5	74	64
135	23.75	24.0	A#4	70	64
136	24.0	24.25	G5	79	64
137	24.25	24.375	F5	77	64
138	24.375	24.5	D#5	75	64
139	24.5	24.625	D5	74	64
140	24.625	24.75	D#5	75	64
141	24.75	24.875	D5	74	64
142	24.875	25.0	C5	72	64
143	25.0	25.125	A#4	70	64
144	25.125	25.25	C5	72	64
145	25.25	25.375	A#4	70	64
146	25.375	25.5	A4	69	64
147	25.75	26.0	A#4	70	64
148	26.0	26.25	D5	74	64
149	26.25	26.5	A#4	70	64
150	26.5	26.75	G5	79	64
151	26.75	27.0	D5	74	64
152	27.0	27.25	A#5	82	64
153	27.25	27.5	C#5	73	64
154	27.5	27.75	A#5	82	64
155	27.75	28.0	C#5	73	64
156	28.0	28.25	A#5	82	64
157	28.25	28.5	C#5	73	64
158	28.5	28.75	D5	74	64
159	28.75	29.0	A4	69	64
160	29.0	29.25	F5	77	64
161	29.25	29.5	D5	74	64
162	29.5	29.75	A5	81	64
163	29.75	30.0	F5	77	64
164	30.0	30.125	G5	79	64
165	30.125	30.25	F5	77	64
166	30.25	30.375	G5	79	64
167	30.375	30.5	A#5	82	64
168	30.5	30.625	C5	72	64
169	30.625	30.75	A#5	82	64
170	30.75	30.875	D5	74	64
171	30.875	31.0	A#5	82	64
172	31.0	31.125	E5	76	64
173	31.125	31.25	A#5	82	64
174	31.25	31.375	C5	72	64
175	31.375	31.5	A#5	82	64
176	31.5	31.625	F5	77	64
177	31.625	31.75	E5	76	64
178	31.75	31.875	F5	77	64
179	31.875	32.0	A5	81	64
180	32.0	32.125	B4	71	64
181	32.125	32.25	A5	81	64
182	32.25	32.375	C#5	73	64
183	32.375	32.5	A5	81	64
184	32.5	32.625	D5	74	64
185	32.625	32.75	A5	81	64
186	32.75	32.875	B4	71	64
187	32.875	33.0	A5	81	64
188	33.0	33.125	E5	76	64
189	33.125	33.25	D5	74	64
190	33.25	33.375	E5	76	64
191	33.375	33.5	G5	79	64
192	33.5	33.625	A4	69	64
193	33.625	33.75	G5	79	64
194	33.75	33.875	B4	71	64
195	33.875	34.0	G5	79	64
196	34.0	34.125	C#5	73	64
197	34.125	34.25	G5	79	64
198	34.25	34.375	A4	69	64
199	34.375	34.5	G5	79	64
200	34.5	34.75	F5	77	64
201	34.75	35.0	D5	74	64
202	35.0	35.25	A#4	70	64
203	35.25	35.5	D5	74	64
204	35.5	35.75	G4	67	64
205	35.75	36.0	F5	77	64
206	36.0	36.25	E5	76	64
207	36.25	36.5	C5	72	64
208	36.5	36.75	A4	69	64
209	36.75	37.0	C5	72	64
210	37.0	37.25	F4	65	64
211	37.25	37.5	D#5	75	64
212	37.5	37.625	D5	74	64
213	37.625	37.75	F5	77	64
214	37.75	37.875	D#5	75	64
215	37.875	38.0	F5	77	64
216	38.0	38.125	D5	74	64
217	38.125	38.25	F5	77	64
218	38.25	38.375	D#5	75	64
219	38.375	38.5	F5	77	64
220	38.5	38.625	D5	74	64
221	38.625	38.75	F5	77	64
222	38.75	38.875	D#5	75	64
223	38.875	39.0	F5	77	64
224	39.0	39.125	A#4	70	64
225	39.125	39.25	D5	74	64
226	39.25	39.375	C5	72	64
227	39.375	39.5	D5	74	64
228	39.5	39.625	A#4	70	64
229	39.625	39.75	D5	74	64
230	39.75	39.875	C5	72	64
231	39.875	40.0	D5	74	64
232	40.0	40.125	A#4	70	64
233	40.125	40.25	D5	74	64
234	40.25	40.375	C5	72	64
235	40.375	40.5	D5	74	64
236	40.5	40.625	G4	67	64
237	40.625	40.75	A#4	70	64
238	40.75	40.875	A4	69	64
239	40.875	41.0	A#4	70	64
240	41.0	41.125	G4	67	64
241	41.125	41.25	A#4	70	64
242	41.25	41.375	A4	69	64
243	41.375	41.5	A#4	70	64
244	41.5	41.625	G4	67	64
245	41.625	41.75	A#4	70	64
246	41.75	41.875	A4	69	64
247	41.875	42.0	A#4	70	64
248	42.0	42.25	E4	64	64
249	42.25	42.5	C4	60	64
250	42.5	42.75	G4	67	64
251	42.75	43.0	E4	64	64
252	43.0	43.25	A#4	70	64
253	43.25	43.5	G4	67	64
254	43.5	43.625	C5	72	64
255	43.625	43.75	D5	74	64
256	43.75	43.875	C5	72	64
257	43.875	44.0	A#4	70	64
258	44.0	44.125	A4	69	64
259	44.125	44.25	A#4	70	64
260	44.25	44.375	A4	69	64
261	44.375	44.5	G4	67	64
262	44.5	44.625	F4	65	64
263	44.625	44.75	G4	67	64
264	44.75	44.875	F4	65	64
265	44.875	45.0	D#4	63	64
266	45.0	45.25	D4	62	64
267	45.25	45.375	G4	67	64
268	45.375	45.5	F4	65	64
269	45.5	45.625	E4	64	64
270	45.625	45.75	F4	65	64
271	45.75	45.875	E4	64	64
272	45.875	46.0	D4	62	64
273	46.0	46.125	C4	60	64
274	46.125	46.25	D4	62	64
275	46.25	46.375	C4	60	64
276	46.375	46.5	A#3	58	64
277	46.5	46.625	A3	57	64
278	46.625	46.75	A#3	58	64
279	46.75	46.875	A3	57	64
280	46.875	47.0	G3	55	64
281	47.0	47.25	F3	53	64
282	47.25	47.375	F4	65	64
283	47.375	47.5	E4	64	64
284	47.5	47.75	F4	65	64
285	47.75	48.0	A3	57	64
286	48.0	48.25	A#3	58	64
287	48.25	48.5	F4	65	64
288	48.5	48.75	A3	57	64
289	48.75	49.0	F4	65	64
290	49.0	49.25	G3	55	64
291	49.25	49.5	E4	64	64
292	49.5	50.5	F4	65	64
293	49.5	50.5	A3	57	64
294	49.5	50.5	C4	60	64
