index	t_on	t_off	pitch_name	pitch_number	velocity
0	0.0	0.15	C5	72	64
1	0.15	0.3	A#4	70	64
2	0.3	0.45	G#4	68	64
3	0.45	0.6	G4	67	64
4	0.6	0.9	G#4	68	64
5	0.9	1.2	F4	65	64
6	1.2	1.925	C#5	73	64
7	1.95	2.1	C5	72	64
8	2.1	2.25	A#4	70	64
9	2.25	2.4	A4	69	64
10	2.4	2.7	A#4	70	64
11	2.7	3.0	G4	67	64
12	3.0	3.725	E5	76	64
13	3.75	3.9	F5	77	64
14	3.9	4.05	G5	79	64
15	4.05	4.2	G#5	80	64
16	4.2	4.5	A#5	82	64
17	4.5	4.65	G5	79	64
18	4.65	4.8	E5	76	64
19	4.8	5.1000000000000005	C#5	73	64
20	5.1000000000000005	5.4	C5	72	64
21	5.4	5.55	A#4	70	64
22	5.55	5.7	G#4	68	64
23	5.7	5.8500000000000005	G4	67	64
24	5.8500000000000005	6.0	G#4	68	64
25	6.0	6.15	A#4	70	64
26	6.15	6.3	C#5	73	64
27	6.3	6.45	C5	72	64
28	6.45	6.6000000000000005	A#4	70	64
29	6.6000000000000005	6.75	G#4	68	64
30	6.75	6.9	G4	67	64
31	6.9	7.05	F4	65	64
32	7.05	7.2	E4	64	64
33	7.2	7.5	G#4	68	64
34	7.5	7.95	F5	77	64
35	7.95	8.1	G5	79	64
36	8.1	8.25	G#5	80	64
37	8.25	8.4	G5	79	64
38	8.4	8.55	F5	77	64
39	8.55	8.700000000000001	D#5	75	64
40	8.700000000000001	8.85	C#5	73	64
41	8.85	9.0	C5	72	64
42	9.0	9.3	A#4	70	64
43	9.3	9.75	G5	79	64
44	9.75	9.9	G#5	80	64
45	9.9	10.05	A#5	82	64
46	10.05	10.200000000000001	G#5	80	64
47	10.200000000000001	10.35	G5	79	64
48	10.35	10.5	F5	77	64
49	10.5	10.65	E5	76	64
50	10.65	10.8	D5	74	64
51	10.8	10.950000000000001	C5	72	64
52	10.950000000000001	11.1	D5	74	64
53	11.1	11.25	E5	76	64
54	11.25	11.4	F5	77	64
55	11.4	11.55	G5	79	64
56	11.55	11.700000000000001	G#5	80	64
57	11.700000000000001	11.85	A#5	82	64
58	11.85	12.0	G5	79	64
59	12.0	12.15	F5	77	64
60	12.15	12.3	E5	76	64
61	12.3	12.450000000000001	F5	77	64
62	12.450000000000001	12.6	E5	76	64
63	12.6	12.9	F5	77	64
64	12.9	13.35	C5	72	64
65	13.35	13.5	A#4	70	64
66	13.5	13.65	G#4	68	64
67	13.65	13.8	G4	67	64
68	13.8	13.950000000000001	F4	65	64
69	13.950000000000001	14.1	E4	64	64
70	14.1	14.25	G#4	68	64
71	14.25	14.4	G4	67	64
72	14.4	14.55	C5	72	64
73	14.55	14.700000000000001	A#4	70	64
74	14.700000000000001	14.85	G#4	68	64
75	14.85	15.0	G4	67	64
76	15.0	15.3	G#4	68	64
77	15.3	15.6	F4	65	64
78	15.6	16.325	G#5	80	64
79	16.35	16.5	G5	79	64
80	16.5	16.65	F5	77	64
81	16.65	16.8	E5	76	64
82	16.8	17.1	F5	77	64
83	17.1	17.400000000000002	D5	74	64
84	17.400000000000002	18.125	B4	71	64
85	18.150000000000002	18.3	C5	72	64
86	18.3	18.45	D5	74	64
87	18.45	18.6	D#5	75	64
88	18.6	18.900000000000002	F5	77	64
89	18.900000000000002	19.05	D5	74	64
90	19.05	19.2	B4	71	64
91	19.2	19.5	G#4	68	64
92	19.5	19.95	G4	67	64
93	19.95	20.1	F4	65	64
94	20.1	20.25	D#4	63	64
95	20.25	20.400000000000002	D4	62	64
96	20.400000000000002	20.7	D#4	63	64
97	20.7	21.0	C4	60	64
98	21.0	21.725	D#5	75	64
99	21.75	21.900000000000002	D5	74	64
100	21.900000000000002	22.05	C5	72	64
101	22.05	22.2	B4	71	64
102	22.2	22.5	C5	72	64
103	22.5	22.8	A4	69	64
104	22.8	23.525000000000002	F#5	78	64
105	23.55	23.7	G5	79	64
106	23.7	23.85	A5	81	64
107	23.85	24.0	A#5	82	64
108	24.0	24.3	C6	84	64
109	24.3	24.45	A5	81	64
110	24.45	24.6	F#5	78	64
111	24.6	24.900000000000002	D#5	75	64
112	24.900000000000002	25.2	D5	74	64
113	25.2	26.1	B4	71	64
114	26.1	26.400000000000002	B4	71	64
115	26.400000000000002	26.475	C5	72	64
116	26.475	26.55	B4	71	56
117	26.55	27.0	C5	72	64
118	27.075	27.150000000000002	C#5	73	64
119	27.150000000000002	27.225	C5	72	56
120	27.225	27.3	B4	71	58
121	27.3	27.45	C5	72	64
122	27.45	27.6	D5	74	64
123	27.6	27.675	C5	72	64
124	27.675	27.7575	D5	74	56
125	27.75	27.8325	D#5	75	56
126	27.825	27.9075	D5	74	56
127	27.900000000000002	27.9825	D#5	75	57
128	27.975	28.0575	D5	74	57
129	28.05	28.1325	D#5	75	58
130	28.125	28.2075	D5	74	58
131	28.2	28.2825	D#5	75	58
132	28.275000000000002	28.3575	D5	74	59
133	28.35	28.4325	D#5	75	59
134	28.425	28.5075	D5	74	59
135	28.5	28.775000000000002	C5	72	64
136	28.8	29.525000000000002	C5	72	64
