index	t_on	t_off	pitch_name	pitch_number	velocity
0	0.25	0.375	A#4	70	64
1	0.375	0.5	C5	72	64
2	0.5	0.625	D5	74	64
3	0.625	0.75	C5	72	64
4	0.75	1.0	A#4	70	64
5	1.0	1.25	F5	77	64
6	1.25	1.5	D5	74	64
7	1.5	1.75	A#5	82	64
8	1.75	2.0	F5	77	64
9	2.0	2.25	D5	74	64
10	2.25	2.375	F5	77	64
11	2.375	2.5	D#5	75	64
12	2.5	2.625	D5	74	64
13	2.625	2.75	D#5	75	64
14	2.75	3.0	F5	77	64
15	3.0	3.25	A#4	70	64
16	3.25	3.5	D5	74	64
17	3.5	3.75	F4	65	64
18	3.75	4.0	G#4	68	64
19	4.0	4.25	G4	67	64
20	4.25	4.375	D#4	63	64
21	4.375	4.5	F4	65	64
22	4.5	4.625	G4	67	64
23	4.625	4.75	F4	65	64
24	4.75	5.0	D#4	63	64
25	5.0	5.25	A#4	70	64
26	5.25	5.5	G4	67	64
27	5.5	5.75	D#5	75	64
28	5.75	6.0	A#4	70	64
29	6.0	6.25	G4	67	64
30	6.25	6.375	A#4	70	64
31	6.375	6.5	G#4	68	64
32	6.5	6.625	G4	67	64
33	6.625	6.75	G#4	68	64
34	6.75	7.0	A#4	70	64
35	7.0	7.25	D#4	63	64
36	7.25	7.5	G4	67	64
37	7.5	7.75	C4	60	64
38	7.75	8.0	D#4	63	64
39	8.0	8.25	A3	57	64
40	8.25	8.375	C4	60	64
41	8.375	8.5	D4	62	64
42	8.5	8.625	D#4	63	64
43	8.625	8.75	D4	62	64
44	8.75	9.0	C4	60	64
45	9.0	9.25	A4	69	64
46	9.25	9.5	F4	65	64
47	9.5	9.75	C5	72	64
48	9.75	10.0	A4	69	64
49	10.0	10.25	D#5	75	64
50	10.25	10.375	F4	65	64
51	10.375	10.5	G4	67	64
52	10.5	10.625	A4	69	64
53	10.625	10.75	G4	67	64
54	10.75	11.0	F4	65	64
55	11.0	11.25	C5	72	64
56	11.25	11.5	A4	69	64
57	11.5	11.75	F5	77	64
58	11.75	12.0	C5	72	64
59	12.0	12.5	D5	74	64
60	13.25	13.375	G5	79	64
61	13.375	13.5	F5	77	64
62	13.5	13.625	D#5	75	64
63	13.625	13.75	F5	77	64
64	13.75	14.0	G5	79	64
65	14.0	14.5	C5	72	64
66	15.25	15.375	F5	77	64
67	15.375	15.5	D#5	75	64
68	15.5	15.625	D5	74	64
69	15.625	15.75	D#5	75	64
70	15.75	16.0	F5	77	64
71	16.0	16.5	A#4	70	64
72	17.25	17.375	D#5	75	64
73	17.375	17.5	D5	74	64
74	17.5	17.625	C5	72	64
75	17.625	17.75	D5	74	64
76	17.75	18.0	D#5	75	64
77	18.0	18.25	A4	69	64
78	18.25	18.375	C5	72	64
79	18.375	18.5	A#4	70	64
80	18.5	18.625	A4	69	64
81	18.625	18.75	A#4	70	64
82	18.75	19.0	C5	72	64
83	19.0	19.5	F4	65	64
84	20.0	20.5	F5	77	64
85	20.5	21.0	F4	65	64
86	21.0	21.5	A4	69	64
87	21.5	22.0	C5	72	64
88	22.0	23.0	F5	77	64
89	24.5	25.0	F4	65	64
90	25.0	25.5	A#4	70	64
91	25.5	26.0	D5	74	64
92	26.0	27.0	F5	77	64
93	28.5	29.0	G4	67	64
94	29.0	29.5	A#4	70	64
95	29.5	30.0	C5	72	64
96	30.0	31.0	E5	76	64
97	32.25	32.375	F4	65	64
98	32.375	32.5	G4	67	64
99	32.5	32.625	A4	69	64
100	32.625	32.75	G4	67	64
101	32.75	33.0	F4	65	64
102	33.0	33.25	C5	72	64
103	33.25	33.5	A4	69	64
104	33.5	33.75	F5	77	64
105	33.75	34.0	C5	72	64
106	34.0	34.25	A5	81	64
107	34.25	34.375	D#5	75	64
108	34.375	34.5	D5	74	64
109	34.5	34.625	C5	72	64
110	34.625	34.75	D5	74	64
111	34.75	35.0	D#5	75	64
112	35.0	35.25	A4	69	64
113	35.25	35.5	C5	72	64
114	35.5	35.75	F#4	66	64
115	35.75	36.0	D5	74	64
116	36.0	36.5	A#4	70	64
117	36.5	37.0	D5	74	64
118	37.0	37.5	A#4	70	64
119	37.5	38.0	G4	67	64
120	38.0	38.5	G#4	68	64
121	38.5	39.0	F5	77	64
122	39.0	39.5	G#4	68	64
123	39.5	40.0	F4	65	64
124	40.0	40.25	G4	67	64
125	40.25	40.375	C4	60	64
126	40.375	40.5	D4	62	64
127	40.5	40.625	D#4	63	64
128	40.625	40.75	D4	62	64
129	40.75	41.0	C4	60	64
130	41.0	41.25	G4	67	64
131	41.25	41.5	D#4	63	64
132	41.5	41.75	C5	72	64
133	41.75	42.0	G4	67	64
134	42.0	42.25	D5	74	64
135	42.25	42.375	G#4	68	64
136	42.375	42.5	G4	67	64
137	42.5	42.625	F4	65	64
138	42.625	42.75	G4	67	64
139	42.75	43.0	G#4	68	64
140	43.0	43.25	D4	62	64
141	43.25	43.5	F4	65	64
142	43.5	43.75	B3	59	64
143	43.75	44.0	G4	67	64
144	44.0	44.5	D#4	63	64
145	45.25	45.375	C4	60	64
146	45.375	45.5	D4	62	64
147	45.5	45.625	D#4	63	64
148	45.625	45.75	D4	62	64
149	45.75	46.0	C4	60	64
150	46.0	46.75	C5	72	64
151	46.75	47.0	A#4	70	64
152	47.0	47.25	A4	69	64
153	47.25	47.375	F4	65	64
154	47.375	47.5	G4	67	64
155	47.5	47.625	A4	69	64
156	47.625	47.75	G4	67	64
157	47.75	48.0	F4	65	64
158	48.0	48.75	F5	77	64
159	48.75	49.0	D#5	75	64
160	49.0	49.25	D5	74	64
161	49.25	49.375	A#4	70	64
162	49.375	49.5	C5	72	64
163	49.5	49.625	D5	74	64
164	49.625	49.75	C5	72	64
165	49.75	50.0	A#4	70	64
166	50.0	50.75	A#5	82	64
167	50.75	51.0	G#5	80	64
168	51.0	51.25	G5	79	64
169	51.25	51.375	A#5	82	64
170	51.375	51.5	G#5	80	64
171	51.5	51.625	G5	79	64
172	51.625	51.75	G#5	80	64
173	51.75	52.0	A#5	82	64
174	52.0	52.25	D#5	75	64
175	52.25	52.375	G5	79	64
176	52.375	52.5	F5	77	64
