index	t_on	t_off	pitch_name	pitch_number	velocity
0	0.1785715	0.357143	D4	62	64
1	0.357143	0.5357145	E4	64	64
2	0.5357145	0.714286	F#4	66	64
3	0.714286	0.8928575	G4	67	64
4	0.8928575	1.071429	A4	69	64
5	1.071429	1.2500005	A#4	70	64
6	1.2500005	1.428572	G4	67	64
7	1.428572	1.6071435	A4	69	64
8	1.6071435	1.785715	G4	67	64
9	1.785715	1.9642865	F#4	66	64
10	1.9642865	2.142858	E4	64	64
11	2.142858	2.3214295000000003	D4	62	64
12	2.3214295000000003	2.500001	C5	72	64
13	2.500001	2.6785725	A#4	70	64
14	2.6785725	2.857144	A4	69	64
15	2.857144	3.0357155000000002	G4	67	64
16	3.0357155000000002	3.214287	F4	65	64
17	3.214287	3.3928585	E4	64	64
18	3.3928585	3.57143	D4	62	64
19	3.57143	3.7500015	C4	60	64
20	3.7500015	3.928573	A#4	70	64
21	3.928573	4.1071445	A4	69	64
22	4.1071445	4.285716	G4	67	64
23	4.285716	4.4642875	D5	74	64
24	4.4642875	4.6428590000000005	C5	72	64
25	4.6428590000000005	4.8214305	A#4	70	64
26	4.8214305	5.000002	D5	74	64
27	5.000002	5.1785735	C5	72	64
28	5.1785735	5.357145	A#4	70	64
29	5.357145	5.5357165	A4	69	64
30	5.5357165	5.714288	C5	72	64
31	5.714288	5.8928595	A#4	70	64
32	5.8928595	6.0714310000000005	A4	69	64
33	6.0714310000000005	6.2500025	G4	67	64
34	6.2500025	6.428574	A4	69	64
35	6.428574	6.607145500000001	A#4	70	64
36	6.607145500000001	6.785717	C5	72	64
37	6.785717	6.9642885	D5	74	64
38	6.9642885	7.14286	E5	76	64
39	7.14286	7.500003	F5	77	64
40	7.500003	7.857146	D5	74	64
41	8.214289	8.571432	D5	74	64
42	8.571432	8.7500035	D#5	75	64
43	8.7500035	8.928575	D5	74	64
44	8.928575	9.1071465	C5	72	64
45	9.1071465	9.285718000000001	D5	74	64
46	9.285718000000001	9.642861	D#5	75	64
47	9.642861	10.000004	E5	76	64
48	10.000004	10.1785755	F5	77	64
49	10.1785755	10.357147	E5	76	64
50	10.357147	10.5357185	D5	74	64
51	10.5357185	10.71429	E5	76	64
